id,title,genre_tags,ambient,blues,classical,electronicDance,folkCountry,funkSoul,jazz,latin,metal,pop,rapHipHop,reggae,rnb,rock,singerSongwriter
31099979,Children_Jumping in the Sunlight.mp3,['singerSongwriter'],0.0062,0.0005,0.0014,0.0001,0.0004,0.0002,0.0103,0.0007,0.0001,0.0093,0.0001,0.0016,0.0003,0.0080,0.0160
31099988,FunkSoul_Funky Groove Tonight.mp3,"['electronicDance', 'rnb']",0.0331,0.0034,0.0014,0.2691,0.0022,0.0599,0.0103,0.0012,0.0006,0.0350,0.0230,0.0078,0.1685,0.0055,0.0011
27639511,Neon Pulse.mp3,['electronicDance'],0.0711,0.0024,0.0056,0.7425,0.0044,0.0046,0.0047,0.0034,0.0037,0.0627,0.0168,0.0044,0.0240,0.0120,0.0027
31099986,FolkCountry_Down by the County Line.mp3,['folkCountry'],0.0026,0.0235,0.0023,0.0004,0.3582,0.0018,0.0240,0.0017,0.0000,0.0400,0.0005,0.0025,0.0019,0.0076,0.0050
31099957,JS-Don't Ever Leave Me.mp3,['classical'],0.0209,0.0011,0.4993,0.0011,0.0016,0.0016,0.2085,0.0070,0.0001,0.0118,0.0009,0.0028,0.0065,0.0036,0.0073
31099954,"JH-Dave Brubeck, The Dave Brubeck Quartet - Take Five.mp3",['jazz'],0.0087,0.0046,0.0157,0.0005,0.0024,0.0448,0.9113,0.0641,0.0001,0.0093,0.0005,0.0060,0.0032,0.0104,0.0329
27639516,March of the Unyielding.mp3,"['ambient', 'electronicDance']",0.1072,0.0195,0.0362,0.0902,0.0146,0.0155,0.0415,0.0139,0.0416,0.0535,0.0188,0.0145,0.0279,0.0547,0.0286
31099977,Blues_Smoky Room Blues.mp3,['blues'],0.0047,0.3294,0.0003,0.0040,0.0075,0.0157,0.0105,0.0028,0.0003,0.0276,0.0043,0.0061,0.0059,0.0195,0.0038
31099950,PH-QWER .mp3,"['pop', 'rnb']",0.0006,0.0003,0.0005,0.0027,0.0007,0.0033,0.0006,0.0008,0.0008,0.0486,0.0045,0.0016,0.0423,0.0083,0.0006
27639513,Midnight Sway.mp3,['ambient'],0.1540,0.0022,0.0029,0.0723,0.0032,0.0119,0.0186,0.0050,0.0009,0.0455,0.0386,0.0093,0.1101,0.0120,0.0043
27639522,Cozy Dreams.mp3,['ambient'],0.1354,0.0903,0.0089,0.0267,0.0177,0.0089,0.0413,0.0115,0.0204,0.0562,0.0145,0.0147,0.0236,0.0776,0.0332
31099991,Latin_Dancing in the Moonlight.mp3,['latin'],0.0043,0.0016,0.0016,0.0042,0.0017,0.0048,0.0494,0.5407,0.0002,0.1590,0.0051,0.0043,0.0017,0.0327,0.0052
31099984,FolkCountry_By the Firelight.mp3,['folkCountry'],0.0007,0.0099,0.0010,0.0001,0.7660,0.0004,0.0161,0.0017,0.0001,0.0253,0.0002,0.0014,0.0003,0.0105,0.0057
31125433,Pretty Bear.mp3,"['metal', 'ambient', 'rock']",0.0583,0.0132,0.0161,0.0240,0.0064,0.0051,0.0289,0.0034,0.0747,0.0257,0.0091,0.0082,0.0082,0.0541,0.0239
31099982,Disco_Dance All Night.mp3,['electronicDance'],0.0236,0.0072,0.0076,0.2614,0.0057,0.0515,0.0432,0.0065,0.0024,0.1318,0.0737,0.0252,0.1496,0.0330,0.0153
31099953,JH-Autumn Leaves.mp3,['jazz'],0.0168,0.0113,0.0249,0.0027,0.0050,0.0683,0.8110,0.0473,0.0004,0.0177,0.0017,0.0074,0.0113,0.0143,0.0340
27639509,Rising Dawn.mp3,"['ambient', 'electronicDance']",0.0706,0.0101,0.0094,0.0599,0.0038,0.0089,0.0173,0.0031,0.0425,0.0257,0.0100,0.0073,0.0128,0.0379,0.0156
31100000,Slay.mp3,['rnb'],0.0003,0.0019,0.0009,0.0116,0.0032,0.2112,0.0044,0.0016,0.0003,0.1177,0.2199,0.0199,0.4344,0.0081,0.0009
31099992,Metal_Wrath of the Abyss.mp3,['metal'],0.0338,0.0151,0.0154,0.0111,0.0049,0.0041,0.0191,0.0027,0.4195,0.0238,0.0134,0.0098,0.0089,0.0902,0.0290
27639508,Storm of Chaos.mp3,['metal'],0.0553,0.0072,0.0178,0.0146,0.0046,0.0044,0.0173,0.0060,0.4388,0.0269,0.0105,0.0055,0.0132,0.0606,0.0141
31099959,PS-Ariana Grande - pov.mp3,"['rnb', 'pop']",0.0018,0.0016,0.0018,0.0261,0.0042,0.0268,0.0093,0.0063,0.0016,0.5239,0.1632,0.0062,0.8643,0.0162,0.0014
31099952,PH-NewJeans 'Hype Boy' .mp3,"['rnb', 'pop']",0.0012,0.0009,0.0020,0.0487,0.0038,0.0192,0.0092,0.0078,0.0024,0.4859,0.1222,0.0081,0.7222,0.0219,0.0012
31099951,PH-Taylor Swift - Anti-Hero.mp3,"['rnb', 'pop', 'electronicDance']",0.0270,0.0062,0.0074,0.2827,0.1606,0.0697,0.0314,0.0124,0.0166,0.2859,0.0966,0.0255,0.3362,0.0991,0.0488
31099980,Classical_Shadows and Light.mp3,['ambient'],0.2691,0.0037,0.0303,0.0243,0.0053,0.0018,0.0217,0.0028,0.0007,0.0130,0.0024,0.0013,0.0044,0.0069,0.0073
31099978,Children_Adventure Awaits.mp3,['ambient'],0.0446,0.0020,0.0111,0.0228,0.0014,0.0079,0.0155,0.0049,0.0012,0.0320,0.0115,0.0129,0.0103,0.0170,0.0179
27639510,Rainy Reflections.mp3,['ambient'],0.4519,0.0022,0.0370,0.0269,0.0031,0.0020,0.0381,0.0042,0.0009,0.0080,0.0021,0.0031,0.0069,0.0033,0.0026
31099958,JS-Miles Davis - Blue In Green.mp3,['jazz'],0.0210,0.0042,0.0697,0.0022,0.0043,0.0340,0.8147,0.1681,0.0002,0.0233,0.0011,0.0046,0.0053,0.0153,0.0312
27639514,Midnight Rendezvous.mp3,['jazz'],0.0277,0.0014,0.0107,0.0009,0.0005,0.0054,0.6068,0.0066,0.0000,0.0041,0.0003,0.0015,0.0047,0.0018,0.0040
31099989,Jazz_Moonlit Serenade.mp3,['jazz'],0.0174,0.0166,0.0111,0.0013,0.0067,0.0261,0.7986,0.0308,0.0004,0.0138,0.0015,0.0115,0.0091,0.0145,0.0340
31099981,Classical_Whispering Elegance.mp3,"['classical', 'jazz', 'ambient']",0.0698,0.0011,0.1067,0.0046,0.0081,0.0004,0.0792,0.0012,0.0008,0.0122,0.0003,0.0017,0.0020,0.0062,0.0118
