title,advancedGenre
ORI - Black Book (Official Video).mp3,"[0.042032661041178344, 0.09377145361421364, 0.018230175503828962, 0.01991866680327803, 0.022694071771443954, 0.0581163574409272, 0.017282054776192775, 0.10155866345615193, 0.03601483117589461, 0.01612556531160538, 0.011966718153936589, 0.026060737370114242, 0.02005379496508145, 0.01949141888748532, 0.0745365417429379, 0.027173284886105518, 0.01783683879849767, 0.05175483578516703, 0.04683076297598226, 0.02339496568311006, 0.06069889651345355, 0.03875105033927996, 0.007489013331775952]"
Children_Jumping in the Sunlight.mp3,"[0.0016165388049557805, 0.006181539827957749, 0.00037129453558009117, 0.0010736119438661262, 0.0005350080697098747, 0.9905954599380493, 0.0014053960796445609, 0.00011105963785666973, 0.00042919631814584134, 0.00017306190711678936, 0.0001552474783238722, 0.010319947265088558, 0.0007327128667384386, 7.544589835788429e-05, 0.009341105748899282, 0.00014260298794397386, 0.0015991352964192628, 0.00030524023368343477, 0.008028249512426556, 0.015967439208179713, 0.0003838564207399031, 0.06310538649559021, 0.010113141080364586]"
FunkSoul_Funky Groove Tonight.mp3,"[0.025580635759979486, 0.033068821765482426, 0.006342466629575938, 0.006711938796797767, 0.0034492433806008194, 0.011642854857200291, 0.0013966628666821634, 0.26909204851835966, 0.0022238319343159674, 0.059944682638160884, 0.0026344094512751326, 0.010292667837347835, 0.0011639231779554393, 0.0005566928812186234, 0.03502613218734041, 0.022988764219917357, 0.007772841869154945, 0.16854637418873608, 0.005534832176635973, 0.0011237661879022198, 0.005595800732407952, 0.015116840237169527, 0.0007719086020188115]"
Neon Pulse.mp3,"[0.040947933814355304, 0.07107415582452502, 0.06011108601731913, 0.01794227571891887, 0.0023668124673089813, 0.014079274875777108, 0.00563971937767097, 0.7424969289984021, 0.004393147961569152, 0.0046033903823367184, 0.003360927928172584, 0.004662719355630023, 0.0034439485212455372, 0.0036597249158408624, 0.06271346445594515, 0.01681124352450882, 0.004388037470302412, 0.024006145607147897, 0.012049196154943534, 0.0027347376619997832, 0.008249859591679913, 0.048203290307096074, 0.001602110602626843]"
FolkCountry_Down by the County Line.mp3,"[0.015631239587673918, 0.0026374056818895043, 0.0010351882454415317, 0.0206685810117051, 0.023461007256992163, 0.33762101028114555, 0.0022764022345654667, 0.0003684277189677232, 0.3582282781600952, 0.0017576762627868447, 0.001028128284815466, 0.024009479396045207, 0.0017095355316996575, 3.056388420645817e-05, 0.039972460456192495, 0.0005365864359191619, 0.0024581623263657095, 0.0018810872017638758, 0.007569575030356645, 0.004952025623060763, 0.0011383410601411015, 0.013034115964546799, 0.0005576129711698741]"
JS-Don't Ever Leave Me.mp3,"[0.014734471268537972, 0.02087906717012326, 0.0021940584022862217, 0.00947719768414067, 0.0011053480540997246, 0.034458447661664754, 0.499336580435435, 0.0011001834354829043, 0.0015677637711632997, 0.0016132906570823656, 0.0005002537501342078, 0.2084996203581492, 0.0069982388781176675, 6.760907460072e-05, 0.011773845698270533, 0.0009315188411468019, 0.002803038327126867, 0.006520742472882072, 0.00362253835838702, 0.007307784890549051, 0.002466651549588682, 0.060772221328483686, 0.001256157456535018]"
Spider Web Anthem.mp3,"[0.0435673587186181, 0.007251146892288133, 0.07756375173187774, 0.010193677543176582, 0.0022943223226795217, 0.038225507313061666, 0.27079536053149594, 0.004326239134610185, 0.014795209033131276, 0.0021939540823476145, 0.0007054732882154539, 0.1537531245013942, 0.007413804085682268, 0.00012310619920595934, 0.07115575857460499, 0.0011673453991534188, 0.0025846811553017924, 0.0031366373118742004, 0.013294079988870932, 0.020587670839513125, 0.002436140691355357, 0.026093266054016094, 0.0034231081777049794]"
"JH-Dave Brubeck, The Dave Brubeck Quartet - Take Five.mp3","[0.03060951754450798, 0.008723329118220135, 0.008596227609086782, 0.0008383118569327052, 0.004631370748393237, 0.010958322521764785, 0.015672439662739634, 0.00046086712245596573, 0.002377722435630858, 0.04477608571760357, 0.0005214133379922714, 0.9113079100847244, 0.06410618396475912, 0.0001488841880018299, 0.009327467868570239, 0.00045277062818058764, 0.00600214481819421, 0.0031892581086140127, 0.01038784539559856, 0.03294646660797298, 0.0026686371958930975, 0.03980102734640241, 0.00047279681093641556]"
March of the Unyielding.mp3,"[0.03985926856597265, 0.10724941566586495, 0.02703137807548046, 0.032562875126798944, 0.019525108486413957, 0.062338795637091, 0.036185105238109826, 0.09021509370456139, 0.014567243214696646, 0.015468275360763072, 0.01305486618851622, 0.04153021102150281, 0.013931483247627814, 0.04163953174526493, 0.05347191256781419, 0.018844105241199335, 0.014458114343384901, 0.027879351253310838, 0.05473010359952847, 0.028569024242460727, 0.033089337932566805, 0.23664397423466046, 0.013736421917565167]"
Blues_Smoky Room Blues.mp3,"[0.015580836793079096, 0.004654603061841472, 0.0025813729598132126, 0.001183572703773868, 0.32944270590429797, 0.0037822587011546336, 0.00028002347458181353, 0.003984800711109796, 0.007525183890453156, 0.0156646209755255, 0.00032006844305536053, 0.010496345417135778, 0.002762036933906048, 0.0002608031908868511, 0.027635872199693146, 0.004348630422849537, 0.006121036805459024, 0.005902822182500078, 0.01945116913274807, 0.003819007529219722, 0.003651935275068835, 0.003427292042247513, 0.00019063110817917143]"
